ressort,url,initial_status,final_status,title,description,hreflang,canonical_url,uses_gsb
BMI,https://bundesinnenminister.info,unavailable,unavailable,,,,,
BMI,https://bundesinnenminister.net,unavailable,unavailable,,,,,
BMI,https://bundesinnenminister.org,unavailable,unavailable,,,,,
BMI,https://bundesinnenministerin.de,unavailable,unavailable,,,,,
BMI,https://bundesinnenministerium.berlin,unavailable,unavailable,,,,,
BMI,https://bundesinnenministerium.com,unavailable,unavailable,,,,,
BMI,https://bundesinnenministerium.eu,unavailable,unavailable,,,,,
BMI,https://bundesinnenministerium.info,unavailable,unavailable,,,,,
BMI,https://bundesinnenministerium.net,unavailable,unavailable,,,,,
BMI,https://bundesinnenministerium.org,unavailable,unavailable,,,,,
BMI,https://bundesministerium-des-innern.berlin,unavailable,unavailable,,,,,
BMI,https://bundesministerium-des-innern.com,unavailable,unavailable,,,,,
BMI,https://bundesministerium-des-innern.eu,unavailable,unavailable,,,,,
BMI,https://bundesministerium-des-innern.info,unavailable,unavailable,,,,,
BMI,https://bundesministerium-des-innern.net,unavailable,unavailable,,,,,
BMI,https://bundesministerium-des-innern.org,unavailable,unavailable,,,,,
BMI,https://bundesministeriumdesinnern.berlin,unavailable,unavailable,,,,,
BMI,https://bundesministeriumdesinnern.com,unavailable,unavailable,,,,,
BMI,https://bundesministeriumdesinnern.de,unavailable,unavailable,,,,,
BMI,https://bundesministeriumdesinnern.eu,unavailable,unavailable,,,,,
BMI,https://bundesministeriumdesinnern.info,unavailable,unavailable,,,,,
BMI,https://bundesministeriumdesinnern.net,unavailable,unavailable,,,,,
BMI,https://bundesministeriumdesinnern.org,unavailable,unavailable,,,,,
BMI,https://bundesportal.berlin,unavailable,unavailable,,,,,
BMI,https://bundesportal.digital,unavailable,unavailable,,,,,
BMI,https://bundesportal.eu,unavailable,unavailable,,,,,
BMI,https://bundesportal.info,unavailable,unavailable,,,,,
BMI,https://bundesportal.net,unavailable,unavailable,,,,,
BMI,https://bundesportal.online,unavailable,unavailable,,,,,
BMI,https://bundesportal.org,unavailable,unavailable,,,,,
BMI,https://bundesprotokoll.berlin,unavailable,unavailable,,,,,
BMI,https://bundesprotokoll.com,unavailable,unavailable,,,,,
BMI,https://bundesprotokoll.de,unavailable,unavailable,,,,,
BMI,https://bundesprotokoll.eu,unavailable,unavailable,,,,,
BMI,https://bundesprotokoll.info,unavailable,unavailable,,,,,
BMI,https://bundesprotokoll.net,unavailable,unavailable,,,,,
BMI,https://bundesprotokoll.org,unavailable,unavailable,,,,,
BMI,https://bundportal.de,unavailable,unavailable,,,,,
BMI,https://bundsportal.de,unavailable,unavailable,,,,,
BMI,https://caf-netzwerk.de,unavailable,unavailable,,,,,
BMI,https://cert-bund.de,301,200,Warn- und Informationsdienst,,,,False
BMI,https://cio-bund.de,unavailable,unavailable,,,,,
BMI,https://ciss-berlin.de,unavailable,unavailable,,,,,
BMI,https://contergan-bund.de,unavailable,unavailable,,,,,
BMI,https://d-115.biz,unavailable,unavailable,,,,,
BMI,https://d-115.com,unavailable,unavailable,,,,,
BMI,https://d-115.de,unavailable,unavailable,,,,,
BMI,https://d-115.eu,unavailable,unavailable,,,,,
BMI,https://d-115.info,unavailable,unavailable,,,,,
BMI,https://d-115.net,unavailable,unavailable,,,,,
BMI,https://d-115.org,unavailable,unavailable,,,,,
BMI,https://d-mail.de,unavailable,unavailable,,,,,
BMI,https://d115.biz,unavailable,unavailable,,,,,
BMI,https://d115.de,unavailable,unavailable,,,,,
BMI,https://d115.eu,unavailable,unavailable,,,,,
BMI,https://d115.info,unavailable,unavailable,,,,,
BMI,https://d115.net,unavailable,unavailable,,,,,
BMI,https://das-bibliotheksportal.com*,unavailable,unavailable,,,,,
BMI,https://das-bibliotheksportal.de*,unavailable,unavailable,,,,,
BMI,https://das-bibliotheksportal.info*,unavailable,unavailable,,,,,
BMI,https://das-bibliotheksportal.net*,unavailable,unavailable,,,,,
BMI,https://das-bibliotheksportal.org*,unavailable,unavailable,,,,,
BMI,https://das-it-sicherheitskennzeichen.com,unavailable,unavailable,,,,,
BMI,https://das-it-sicherheitskennzeichen.de,unavailable,unavailable,,,,,
BMI,https://das-it-sicherheitskennzeichen.eu,unavailable,unavailable,,,,,
BMI,https://das-it-sicherheitskennzeichen.net,unavailable,unavailable,,,,,
BMI,https://das-it-sicherheitskennzeichen.org,unavailable,unavailable,,,,,
BMI,https://dasbibliotheksportal.com,unavailable,unavailable,,,,,
BMI,https://dasbibliotheksportal.de,unavailable,unavailable,,,,,
BMI,https://dasbibliotheksportal.info,unavailable,unavailable,,,,,
BMI,https://dasbibliotheksportal.net,unavailable,unavailable,,,,,
BMI,https://dasbibliotheksportal.org,unavailable,unavailable,,,,,
BMI,https://daten-deutschland.de,unavailable,unavailable,,,,,
BMI,https://datenethikkommission.de,unavailable,unavailable,,,,,
BMI,https://dd-mail.de,unavailable,unavailable,,,,,
BMI,https://de-mai.de,unavailable,unavailable,,,,,
BMI,https://de-mail-test.de,unavailable,unavailable,,,,,
BMI,https://de-mail.It,unavailable,unavailable,,,,,
BMI,https://de-mail.at,unavailable,unavailable,,,,,
BMI,https://de-mail.be,unavailable,unavailable,,,,,
BMI,https://de-mail.biz,unavailable,unavailable,,,,,
BMI,https://de-mail.co.uk,unavailable,unavailable,,,,,
BMI,https://de-mail.cz,unavailable,unavailable,,,,,
BMI,https://de-mail.de,unavailable,unavailable,,,,,
BMI,https://de-mail.dk,unavailable,unavailable,,,,,
